Year,Chart,Artist,Song,Genre Combined,Genre 1,Genre 2,Genre 3,Word count,Unique Word Count,Cluster k3,Cluster k4,Cluster k5
1983,54,Men at Work,Overkill,album rock australian rock classic rock,album rock, australian rock, classic rock,185,71,0,2,4
1983,55,Duran Duran,Is There Something I Should Know?,dance rock new romantic new wave,dance rock, new romantic, new wave,351,121,2,0,1
1983,56,Laura Branigan,Gloria,disco new wave pop soft rock,disco, new wave pop, soft rock,333,104,0,0,1
1983,57,Rick Springfield,Affair of the Heart,album rock australian rock classic rock,album rock, australian rock, classic rock,330,108,0,0,1
1983,58,The Tubes,She's a Beauty,album rock art rock classic rock,album rock, art rock, classic rock,314,81,0,0,1
1983,59,Laura Branigan,Solitaire,disco new wave pop soft rock,disco, new wave pop, soft rock,271,108,0,2,1
1983,60,Styx,Don't Let It End,album rock art rock classic rock,album rock, art rock, classic rock,300,112,0,0,1
1983,61,Laura Branigan,How Am I Supposed to Live Without You,disco new wave pop soft rock,disco, new wave pop, soft rock,348,109,2,0,1
1983,62,David Bowie,China Girl,art rock classic rock glam rock,art rock, classic rock, glam rock,278,99,0,0,1
1983,63,The Kinks,Come Dancing,album rock art rock british invasion,album rock, art rock, british invasion,334,144,0,0,1
1983,64,Naked Eyes,"Promises, Promises",new romantic new wave new wave pop,new romantic, new wave, new wave pop,184,67,0,2,4
1983,65,Little River Band,The Other Guy,album rock art rock australian rock,album rock, art rock, australian rock,168,84,0,2,4
1983,66,Air Supply,Making Love Out of Nothing at All,mellow gold soft rock,mellow gold, soft rock,,534,147,2,3,2
1983,67,Hall & Oates,Family Man,album rock classic rock mellow gold,album rock, classic rock, mellow gold,393,108,2,0,2
1983,68,Michael Jackson,Wanna Be Startin' Somethin',pop r&b soul,pop, r&b, soul,1304,156,1,1,0
1983,69,Toto,I Won't Hold You Back,album rock classic rock mellow gold,album rock, classic rock, mellow gold,249,72,0,2,1
1983,70,Christopher Cross,All Right,adult standards album rock classic rock,adult standards, album rock, classic rock,474,91,2,3,2
1983,71,Bryan Adams,Straight from the Heart,album rock canadian pop canadian singer-songwriter,album rock, canadian pop, canadian singer-songwriter,268,81,0,2,1
1983,72,Kenny Loggins,Heart to Heart,album rock mellow gold new wave pop,album rock, mellow gold, new wave pop,423,122,2,0,2
1983,73,Lionel Richie,My Love,adult standards disco mellow gold,adult standards, disco, mellow gold,213,82,0,2,4
1983,74,Elton John,I'm Still Standing,glam rock mellow gold piano rock,glam rock, mellow gold, piano rock,370,116,2,0,1
1983,75,Loverboy,Hot Girls in Love,album rock classic canadian rock classic rock,album rock, classic canadian rock, classic rock,349,108,2,0,1
1983,76,Men at Work,It's a Mistake,album rock australian rock classic rock,album rock, australian rock, classic rock,295,109,0,0,1
1983,77,Culture Club,I'll Tumble 4 Ya,disco europop mellow gold,disco, europop, mellow gold,205,81,0,2,4
1983,78,DeBarge,All This Love,contemporary r&b disco funk,contemporary r&b, disco, funk,466,109,2,0,2
1983,79,Sammy Hagar,Your Love Is Driving Me Crazy,album rock classic rock glam metal,album rock, classic rock, glam metal,226,73,0,2,4
1983,80,Dionne Warwick,Heartbreaker,adult standards brill building pop disco,adult standards, brill building pop, disco,308,114,0,0,1
1983,81,Journey,Faithfully,album rock classic rock hard rock,album rock, classic rock, hard rock,180,107,0,2,4
1983,82,Joe Jackson,Steppin' Out,album rock art rock classic rock,album rock, art rock, classic rock,212,90,0,2,4
1983,83,Quarterflash,Take Me to Heart,album rock mellow gold new wave pop,album rock, mellow gold, new wave pop,166,76,0,2,4
1983,84,Stray Cats,(She's) Sexy + 17,instrumental surf rock-and-roll rockabilly,instrumental surf, rock-and-roll, rockabilly,407,150,2,0,2
1983,85,Champaign,Try Again,yacht rock,yacht rock,,,268,98,0,2,1
1983,86,Shalamar,Dead Giveaway,disco funk post-disco,disco, funk, post-disco,432,145,2,0,2
1983,87,Jackson Browne,Lawyers in Love,album rock classic rock country rock,album rock, classic rock, country rock,194,110,0,2,4
1983,88,Moving Pictures,What About Me,australian rock,australian rock,,,337,119,0,0,1
1983,89,Michael Jackson,Human Nature,pop r&b soul,pop, r&b, soul,483,102,2,3,2
1983,90,Def Leppard,Photograph,album rock hard rock nwobhm,album rock, hard rock, nwobhm,310,102,0,0,1
1983,91,Musical Youth,Pass the Dutchie,uk reggae,uk reggae,,,589,123,2,3,3
1983,92,Spandau Ballet,TRUE,mellow gold new romantic new wave,mellow gold, new romantic, new wave,405,87,2,0,2
1983,93,Frank Stallone,Far from Over,yacht rock,yacht rock,,,163,50,0,2,4
1983,94,Eric Clapton,I've Got a Rock 'n' Roll Heart,blues rock classic rock electric blues,blues rock, classic rock, electric blues,190,96,0,2,4
1983,95,Stephen Bishop,It Might Be You,adult standards country rock folk rock,adult standards, country rock, folk rock,257,92,0,2,1
1983,96,Peabo Bryson and Roberta Flack,"Tonight, I Celebrate My Love",,,,,222,78,0,2,4
1983,97,Tom Petty and the Heartbreakers,You Got Lucky,album rock classic rock folk rock,album rock, classic rock, folk rock,153,54,0,2,4
1983,98,Asia,Don't Cry,album rock art rock classic rock,album rock, art rock, classic rock,139,72,0,2,4
1983,99,Joe Jackson,Breaking Us in Two,album rock art rock classic rock,album rock, art rock, classic rock,277,92,0,0,1
1983,100,"Earth, Wind & Fire",Fall in Love with Me,disco funk jazz funk,disco, funk, jazz funk,357,121,2,0,1
1984,1,Prince,When Doves Cry,funk funk rock minneapolis sound,funk, funk rock, minneapolis sound,400,104,2,0,2
1984,2,Tina Turner,What's Love Got to Do with It,disco new wave pop soft rock,disco, new wave pop, soft rock,374,98,2,0,1
1984,3,Paul McCartney and Michael Jackson,Say Say Say,album rock art rock beatlesque,album rock, art rock, beatlesque,417,103,2,0,2
1984,4,Kenny Loggins,Footloose,album rock mellow gold new wave pop,album rock, mellow gold, new wave pop,300,127,0,0,1
1984,5,Phil Collins,Against All Odds (Take a Look at Me Now),mellow gold rock drums soft rock,mellow gold, rock drums, soft rock,297,99,0,0,1
1984,6,Van Halen,Jump,album rock classic rock hard rock,album rock, classic rock, hard rock,213,69,0,2,4
1984,7,Lionel Richie,Hello,adult standards disco mellow gold,adult standards, disco, mellow gold,240,92,0,2,4
1984,8,Yes,Owner of a Lonely Heart,album rock art rock classic rock,album rock, art rock, classic rock,313,106,0,0,1
1984,9,Ray Parker Jr.,Ghostbusters,,,,,287,87,0,0,1
1984,10,Culture Club,Karma Chameleon,disco europop mellow gold,disco, europop, mellow gold,321,75,0,0,1
1984,11,John Waite,Missing You,album rock mellow gold new wave pop,album rock, mellow gold, new wave pop,466,104,2,0,2
1984,12,Lionel Richie,All Night Long (All Night),adult standards disco mellow gold,adult standards, disco, mellow gold,421,114,2,0,2
1984,13,Deniece Williams,Let's Hear It for the Boy,classic soul disco funk,classic soul, disco, funk,400,81,2,0,2
1984,14,Bruce Springsteen,Dancing in the Dark,classic rock heartland rock mellow gold,classic rock, heartland rock, mellow gold,361,142,2,0,1
1984,15,Cyndi Lauper,Girls Just Want To Have Fun,new wave pop permanent wave soft rock,new wave pop, permanent wave, soft rock,369,76,2,0,1
1984,16,Duran Duran,The Reflex,dance rock new romantic new wave,dance rock, new romantic, new wave,413,122,2,0,2
1984,17,Cyndi Lauper,Time After Time,new wave pop permanent wave soft rock,new wave pop, permanent wave, soft rock,291,86,0,0,1
1984,18,The Pointer Sisters,Jump (For My Love),dance pop disco girl group,dance pop, disco, girl group,418,97,2,0,2
1984,19,The Romantics,Talking in Your Sleep,album rock classic rock mellow gold,album rock, classic rock, mellow gold,366,66,2,0,1
1984,20,Laura Branigan,Self Control,disco new wave pop soft rock,disco, new wave pop, soft rock,429,97,2,0,2
1984,21,Prince and The Revolution,Let's Go Crazy,funk funk rock minneapolis sound,funk, funk rock, minneapolis sound,398,168,2,0,2
1984,22,Hall & Oates,Say It Isn't So,album rock classic rock mellow gold,album rock, classic rock, mellow gold,498,132,2,3,2
1984,23,Thompson Twins,Hold Me Now,mellow gold new romantic new wave,mellow gold, new romantic, new wave,404,112,2,0,2
1984,24,Kool & The Gang,Joanna,disco funk quiet storm,disco, funk, quiet storm,304,103,0,0,1
1984,25,Stevie Wonder,I Just Called to Say I Love You,adult standards funk motown,adult standards, funk, motown,289,103,0,0,1
1984,26,Rockwell,Somebody's Watching Me,,,,,586,130,2,3,3
1984,27,Matthew Wilder,Break My Stride,new wave pop,new wave pop,,,422,99,2,0,2
1984,28,Nena,99 Luftballons,german pop german rock new wave pop,german pop, german rock, new wave pop,214,133,0,2,4
1984,29,Dan Hartman,I Can Dream About You,disco post-disco,disco, post-disco,,317,90,0,0,1
1984,30,Sheila E.,The Glamorous Life,freestyle funk minneapolis sound,freestyle, funk, minneapolis sound,337,121,0,0,1
1984,31,Steve Perry,Oh Sherrie,album rock mellow gold soft rock,album rock, mellow gold, soft rock,255,72,0,2,1
