Year,Chart,Artist,Song,Genre,Original Genre
1961,58,The Way You Look Tonight,The Lettermen,adult standards,adult standards bubblegum pop easy listening
1961,59,Moody River,Pat Boone,adult standards,adult standards easy listening lounge
1961,60,One Mint Julep,Ray Charles,adult standards,adult standards classic soul jazz blues
1961,61,Take Good Care of Her,Adam Wade,adult standards,deep adult standards
1961,62,Gee Whiz (Look at His Eyes),Carla Thomas,r&b,classic soul memphis soul rhythm and blues
1961,63,Stand by Me,Ben E. King,rock,adult standards rock-and-roll soul
1961,64,Spanish Harlem,Ben E. King,rock,adult standards rock-and-roll soul
1961,65,It's Gonna Work Out Fine,Ike and Tina Turner,funk,classic soul funk soul
1961,66,Baby Blue,The Echoes,N/A,
1961,67,Baby Sittin' Boogie,Buzz Clifford,N/A,
1961,68,Hats Off to Larry,Del Shannon,adult standards,adult standards bubblegum pop merseybeat
1961,69,Those Oldies but Goodies,Little Caesar & the Romans,r&b,doo-wop
1961,70,The Fly,Chubby Checker,rock,adult standards bubblegum pop rock-and-roll
1961,71,(Marie's the Name) His Latest Flame,Elvis Presley,rock,rock-and-roll rockabilly
1961,72,Wonderland by Night,Bert Kaempfert,adult standards,adult standards ballroom easy listening
1961,73,Bless You,Tony Orlando,adult standards,adult standards bubblegum pop classic uk pop
1961,74,I've Told Every Little Star,Linda Scott,pop,brill building pop
1961,75,One Track Mind,Bobby Lewis,r&b,rhythm and blues
1961,76,Angel Baby,Rosie and the Originals,r&b,doo-wop
1961,77,Pretty Little Angel Eyes,Curtis Lee,r&b,doo-wop rhythm and blues
1961,78,Think Twice,Brook Benton,r&b,rhythm and blues soul southern soul
1961,79,Does Your Chewing Gum Lose Its Flavour (On the Bedpost Overnight?),Lonnie Donegan,rock,classic uk pop merseybeat rock-and-roll
1961,80,Breakin' in a Brand New Broken Heart,Connie Francis,adult standards,adult standards brill building pop lounge
1961,81,Mama Said,The Shirelles,adult standards,adult standards classic girl group doo-wop
1961,82,Let the Four Winds Blow,Fats Domino,adult standards,adult standards louisiana blues lounge
1961,83,The Writing on the Wall,Adam Wade,adult standards,deep adult standards
