Year,Chart,Hapax Count,Hapaxes
1959,56,29,"['give', 'another', 'chance', 'for', 'our', 'romance', 'and', 'tell', 'one', 'day', 'return', 'cause', 'everyday', 've', 'been', 'gone', 'away', 'know', 'does', 'nothing', 'but', 'burn', 'crying', 'right', 'now', 'baby', 'darling', 'yeah', '1']"
1959,57,36,"['hawaiian', 'song', 've', 'waited', 'for', 'can', 'hear', 'singing', 'soon', 'bells', 'be', 'ringing', 'oh', 'sweet', 'aloha', 'here', 'o', 'vow', 'now', 'we', 'are', 'one', 'cloud', 'want', 'light', 'sun', 'blue', 'sky', 'hawaii', 'smile', 'on', 'our', 'day', 'do', 'with', 'all']"
1959,58,1,['instrumental']
1959,59,4,"['dreams', 'about', 's', 'faithful']"
1959,60,29,"['kiss', 'go', 'party', 'its', 'have', 'some', 'fun', 'take', 'movie', 'but', 'do', 'nt', 'let', 'be', 'the', 'one', 'if', 'offers', 'ring', 'that', 'loved', 'thrill', 'charms', 'feel', 'much', 'more', 'better', 'held', 'arms']"
1959,61,39,"['ve', 'found', 'new', 'still', 'miss', 'so', 'ca', 'nt', 'forget', 'know', 'was', 'your', 'sweetheart', 'friend', 'really', 'loved', 'pretend', 'oh', 'hide', 'these', 'teardrops', 'down', 'inside', 'crying', 'than', 'have', 'pity', 'nights', 'lonely', 'since', 'went', 'away', 'always', 'keep', 'this', 'secret', 'within', 'heart', '1']"
1959,62,32,"['ive', 'saw', 'her', 'on', 'the', 'corner', 'knew', 'was', 'goner', 'should', 'phone', 'do', 'and', 'there', 's', 'nobody', 'home', 'll', 'keep', 'date', 'show', 'up', 'two', 'hours', 'late', 'love', 'me', 'honey', 'really', 'need', 'my', 'money']"
1959,63,33,"['what', 'else', 'could', '?', 'but', 'and', 'sigh', 'love', 'felt', 'fall', 'in', 'heart', 'fooled', 'so', 'was', 'smart', 'ca', 'believe', 'that', 'must', 'part', 'back', 'to', 'stay', 'let', 's', 'new', 'start', 'trumpet', 'solo', 'please', 'dreams', 'true']"
1959,64,21,"['living', 'dream', 'seem', 'lovers', 'take', 'for', 'granted', 'all', 'world', 'aglow', 'they', 'ought', 'know', 'touch', 'star', 'then', 'find', 'seed', 'plant', 'grow', '14']"
1959,65,33,"['dont', 'plans', 'schemes', 'hopes', 'dreams', 'fond', 'desires', 'happy', 'hours', 'happiness', 'guess', 'never', 'will', 'again', 'when', 'out', 'on', 'me', 'in', 'old', 'misery', 'he', 's', 'been', 'here', 'then', 'love', 'to', 'share', 'one', 'who', 'cares', '2']"
1959,66,1,['instrumental']
1959,67,42,"['chipmunk', 'dont', 'alright', 'your', 'd', 'say', 'are', 'is', 'near', 'toys', 'and', 'cheer', 've', 'been', 'but', 'last', 'fast', 'me', 'interlude', 'fellas', 'get', 'was', 'naturally', 'hahahaha', 'uh', 'were', 'little', 'flat', 'watch', 'alvin\\x97alvin', 'still', 'no', 'enough', 'not', 'what', 'mean', 'minute', 'why', 'c\\x97theodore', 'just', 'm\\x97simon', 'out\\x97boys']"
1959,68,27,"['wish', 'was', 'lucky', 'guy', 've', 'been', 'right', 'on', 'be', 'smart', 'break', 'heart', 'but', 'if', 'ask', 'for', 'date', 'then', 'tell', 'too', 'late', 'saw', 'all', 'alone', 'when', 'fade', 'out']"
1959,69,8,"['loves', 'rain', 'shine', 'all', 'the', 'time', 'sends', '1']"
1959,70,1,['yes']
1959,71,145,"['during', 'north', 'african', 'campaign', 'bunch', 'long', 'hike', 'they', 'arrived', 'little', 'town', 'called', 'casino', 'morning', 'being', 'sunday', 'several', 'went', 'commanded', 'chaplain', 'read', 'text', 'up', 'took', 'only', 'spread', 'saw', 'put', 'away', 'services', 'over', 'prisoner', 'before', 'provost', 'why', 'here', 'playing', 'what', 'say', 'yourself', 'much', 'replied', 'if', 'not', 'shall', 'punish', 'more', 'than', 'any', 'ever', 'punished', 'march', 'about', 'neither', 'nor', 'satisfy', 'purity', 'intentions', 'started', 'look', 'at', 'ace', 'deuce', 'divided', 'into', 'two', 'parts', 'old', 'new', 'testaments', 'trey', 'father', 'holy', 'ghost', 'evangelists', 'preached', 'gospel', 'matthew', 'mark', 'luke', 'john', 'virgins', 'trimmed', 'lamps', 'foolish', 'shut', 'made', 'seven', 'seventh', 'day', 'rested', 'from', 'work', 'righteous', 'persons', 'destroyed', 'noah', 'wife', 'sons', 'wives', 'lepers', 'our', 'savior', 'cleansed', 'did', 'nt', 'even', 'thank', 'him', 'commandments', 'handed', 'down', 'moses', 'table', 'stone', 'almighty', 'blessed', 'virgin', 'mary', 'jack', 'or', 'knave', 'devil', 'count', 'spots', 'find', '365', '52', '4', 'suits', 'month', '12', 'picture', 'months', '13', 'tricks', 'quarter', 'pack', 'serves', 'as', 'an', 'almanac', 'friends', 'true', 'know']"
1959,72,17,"['lovers', 'love', 'all', 'heart', 'should', 'worry', 'apart', 'need', 'as', 'pretends', 'this', 'game', 'well', 'then', 'will', 'win', '2']"
1959,73,42,"['my', 'must', 'kind', 'blind', ';', 'anyone', '1', 'stars', 'out', 'tonight', '?', 'it', 's', 'cloudy', 'bright', 'dear', 'moon', 'may', 'high', 'thing', 'sky', 'we', 're', 'garden', 'on', 'crowded', 'avenue', '2', 'here', 'so', 'am', 'maybe', 'millions', 'people', 'go', 'by', 'they', 'all', 'disappear', 'from', 'view', '4']"
1959,74,7,"['its', 'shoulda', 'checked', 'done', 'spent', 'every', 'dime']"
1959,75,1,['instrumental']
1959,76,19,"['writing', 'wall', 'i', 'loves', 'arms', 'charms', 'dream', 'captain', 'of', 'high', 'school', 'football', 'team', 'mountain', 'we', 'go', 'steady', 'smile', 'eyes']"
1959,77,61,"['went', 'one', 'day', 'about', 'month', 'ago', 'have', 'little', 'fun', 'ah', 'mexico', 'ended', 'up', 'gambling', 'spot', 'where', 'liquor', 'flowed', 'were', 'hot', 'was', 'shooting', 'raking', 'dough', 'long', 'green', 'then', 'heard', 'whistle', 'blow', 'started', 'run', 'when', 'man', 'blue', 'said', 'senor', 'come', 'with', 'want', 'you', 'dollars', 'set', 'us', 'free', 'could', 'raise', 'penny', 'if', 'threatened', 'know', 'do', 'sound', 'like', 'much', 'cheap', 'but', 'try', 'find', 'somebody', 'touch']"
1959,78,47,"['kiss', 'drive', 'crazy', 'make', 'feel', 'good', 'when', 'moon', 'is', 'shining', 'bright', 'our', 'lips', 'together', 're', 'squeezing', 'tight', 'steady', 'once', 'before', 'thought', 'loved', 'girl', 'next', 'door', 'she', 'stepped', 'out', 'on', 'see', 'could', 'be', 'true', 'got', 'all', 'my', 'dreams', 'time', 'by', 'fast', 'seems', 'll', 'never', 'get', 'oh', 'yeah', '1']"
1959,79,12,"['were', 'yes', 'please', 'do', 'nt', 'cry', 'one', 'more', 'time', 'hope', 'll', 'understand']"
1959,80,64,"['flopped', 'my', 'easy', 'chair', 'channel', '2', 'bad', 'gunslinger', 'called', 'chasin', 'poor', 'trapped', 'sawmill', 'with', 'an', 'evil', 'laugh', 'half', 'buzz', 'commercial', 'get', 'myself', 'snack', 'should', 've', 'seen', 'what', 'going', 'by', 'time', 'back', 'abandoned', 'mine', 'havin', 'fits', 'villain', 'or', 'blow', 'bits', 'lit', 'fuse', 'dynamite', 'bugged', 'it', 'off', 'another', 'show', 'but', 'there', 'shoot', 'em', 'rodeo', 'tryin', 'stuff', 'burlap', 'sack', 'm', 'gon', 'na', 'throw', 'threw', 'train', 'started', 'coming']"
1959,81,93,"['left', 'ritchie', 'valens', 'young', 'seventeen', 'beginning', 'realize', 'explore', 'teenage', 'dreams', 'why', 'did', 'call', 'oh', 'far', 'away', 'maybe', 'help', 'some', 'girl', 'who', 'might', 'have', 'gone', 'astray', 'star', 'dark', 'lonely', 'night', 'light', 'path', 'show', 'shy', 'grin', 'upon', 'face', 'funny', 'seem', 'notice', 'one', 'curl', 'out', 'place', 'not', 'many', 'people', 'really', 'knew', 'understood', 'felt', 'but', 'song', 'lips', 'would', 'make', 'coldest', 'heart', 'melt', 'singing', 'for', 'll', 'remember', 'tears', 'our', 'eyes', 'middle', 'stout', 'man', 'bopper', 'is', 'name', 'has', 'called', 'perhaps', 'new', 'fortune', 'fame', 'wore', 'stetson', 'hat', 'sort', 'rambled', 'mike', 'can', 'ever', 'forget', 'those', 'wonderful', 'words', 'know', 'what', 'i', 'like']"
1959,82,8,"['song', 'tune', 'year', 'june', 'day', 'night', 'star', 'light']"
1959,83,21,"['stand', 'beside', 'alone', 'have', 'own', 'only', 'desire', 'is', 'loving', 'eternally', 'other', 'ever', 'mean', 'much', 'if', 'say', 'forever', 'true', 'live', 'life', '3']"
1959,84,67,"['re', 'tellin', 'everybody', 'm', 'one', 'blame', 'for', 'wrong', 'have', 'done', 'day', 'walked', 'out', 'say', 'goodbye', 'home', 'sit', 'cry', 'gave', 'ever', 'had', 'things', 'got', 'from', 'were', 'bad', 'show', 'call', 'through', 'always', 'yours', 'treasure', 'hold', 'but', 'when', 'a', 'idle', 'will', 'soon', 'cold', 'temptation', 'too', 'strong', 'hide', 'are', 'really', 'satisfied', 'with', 'way', 'tell', 'how', 'please', 'come', 'back', 'try', 'start', 'anew', 'proper', 'thing', 'do', 'darling', 'if', 'make', 'll', 'never', 'break', 'then']"
